+---------------+------+--------+--------+-----------+
|   series id   | year | period | value  | footnotes |
+---------------+------+--------+--------+-----------+
| CES0500000001 | 2014 |  M12   | 118430 |           |
| CES0500000001 | 2014 |  M11   | 118177 |           |
| CES0500000001 | 2014 |  M10   | 117901 |           |
| CES0500000001 | 2014 |  M09   | 117669 |           |
| CES0500000001 | 2014 |  M08   | 117402 |           |
| CES0500000001 | 2014 |  M07   | 117168 |           |
| CES0500000001 | 2014 |  M06   | 116942 |           |
| CES0500000001 | 2014 |  M05   | 116679 |           |
| CES0500000001 | 2014 |  M04   | 116440 |           |
| CES0500000001 | 2014 |  M03   | 116135 |           |
| CES0500000001 | 2014 |  M02   | 115889 |           |
| CES0500000001 | 2014 |  M01   | 115734 |           |
| CES0500000001 | 2013 |  M12   | 115553 |           |
| CES0500000001 | 2013 |  M11   | 115461 |           |
| CES0500000001 | 2013 |  M10   | 115210 |           |
| CES0500000001 | 2013 |  M09   | 114980 |           |
| CES0500000001 | 2013 |  M08   | 114797 |           |
| CES0500000001 | 2013 |  M07   | 114571 |           |
| CES0500000001 | 2013 |  M06   | 114434 |           |
| CES0500000001 | 2013 |  M05   | 114229 |           |
| CES0500000001 | 2013 |  M04   | 114002 |           |
| CES0500000001 | 2013 |  M03   | 113810 |           |
| CES0500000001 | 2013 |  M02   | 113660 |           |
| CES0500000001 | 2013 |  M01   | 113394 |           |
| CES0500000001 | 2012 |  M12   | 113185 |           |
| CES0500000001 | 2012 |  M11   | 112950 |           |
| CES0500000001 | 2012 |  M10   | 112774 |           |
| CES0500000001 | 2012 |  M09   | 112593 |           |
| CES0500000001 | 2012 |  M08   | 112415 |           |
| CES0500000001 | 2012 |  M07   | 112246 |           |
| CES0500000001 | 2012 |  M06   | 112077 |           |
| CES0500000001 | 2012 |  M05   | 112023 |           |
| CES0500000001 | 2012 |  M04   | 111903 |           |
| CES0500000001 | 2012 |  M03   | 111809 |           |
| CES0500000001 | 2012 |  M02   | 111565 |           |
| CES0500000001 | 2012 |  M01   | 111304 |           |
| CES0500000001 | 2011 |  M12   | 110942 |           |
| CES0500000001 | 2011 |  M11   | 110723 |           |
| CES0500000001 | 2011 |  M10   | 110564 |           |
| CES0500000001 | 2011 |  M09   | 110375 |           |
| CES0500000001 | 2011 |  M08   | 110108 |           |
| CES0500000001 | 2011 |  M07   | 109950 |           |
| CES0500000001 | 2011 |  M06   | 109775 |           |
| CES0500000001 | 2011 |  M05   | 109574 |           |
| CES0500000001 | 2011 |  M04   | 109418 |           |
| CES0500000001 | 2011 |  M03   | 109096 |           |
| CES0500000001 | 2011 |  M02   | 108838 |           |
| CES0500000001 | 2011 |  M01   | 108583 |           |
+---------------+------+--------+--------+-----------+
