+---------------+------+--------+-------+-----------+
|   series id   | year | period | value | footnotes |
+---------------+------+--------+-------+-----------+
| CES0500000003 | 2014 |  M12   | 24.65 |           |
| CES0500000003 | 2014 |  M11   | 24.65 |           |
| CES0500000003 | 2014 |  M10   | 24.58 |           |
| CES0500000003 | 2014 |  M09   | 24.56 |           |
| CES0500000003 | 2014 |  M08   | 24.55 |           |
| CES0500000003 | 2014 |  M07   | 24.48 |           |
| CES0500000003 | 2014 |  M06   | 24.44 |           |
| CES0500000003 | 2014 |  M05   | 24.40 |           |
| CES0500000003 | 2014 |  M04   | 24.34 |           |
| CES0500000003 | 2014 |  M03   | 24.31 |           |
| CES0500000003 | 2014 |  M02   | 24.32 |           |
| CES0500000003 | 2014 |  M01   | 24.21 |           |
| CES0500000003 | 2013 |  M12   | 24.17 |           |
| CES0500000003 | 2013 |  M11   | 24.16 |           |
| CES0500000003 | 2013 |  M10   | 24.09 |           |
| CES0500000003 | 2013 |  M09   | 24.06 |           |
| CES0500000003 | 2013 |  M08   | 24.03 |           |
| CES0500000003 | 2013 |  M07   | 23.98 |           |
| CES0500000003 | 2013 |  M06   | 23.97 |           |
| CES0500000003 | 2013 |  M05   | 23.89 |           |
| CES0500000003 | 2013 |  M04   | 23.87 |           |
| CES0500000003 | 2013 |  M03   | 23.81 |           |
| CES0500000003 | 2013 |  M02   | 23.77 |           |
| CES0500000003 | 2013 |  M01   | 23.76 |           |
| CES0500000003 | 2012 |  M12   | 23.73 |           |
| CES0500000003 | 2012 |  M11   | 23.63 |           |
| CES0500000003 | 2012 |  M10   | 23.56 |           |
| CES0500000003 | 2012 |  M09   | 23.57 |           |
| CES0500000003 | 2012 |  M08   | 23.49 |           |
| CES0500000003 | 2012 |  M07   | 23.51 |           |
| CES0500000003 | 2012 |  M06   | 23.46 |           |
| CES0500000003 | 2012 |  M05   | 23.39 |           |
| CES0500000003 | 2012 |  M04   | 23.39 |           |
| CES0500000003 | 2012 |  M03   | 23.36 |           |
| CES0500000003 | 2012 |  M02   | 23.27 |           |
| CES0500000003 | 2012 |  M01   | 23.24 |           |
| CES0500000003 | 2011 |  M12   | 23.21 |           |
| CES0500000003 | 2011 |  M11   | 23.18 |           |
| CES0500000003 | 2011 |  M10   | 23.21 |           |
| CES0500000003 | 2011 |  M09   | 23.11 |           |
| CES0500000003 | 2011 |  M08   | 23.07 |           |
| CES0500000003 | 2011 |  M07   | 23.10 |           |
| CES0500000003 | 2011 |  M06   | 23.01 |           |
| CES0500000003 | 2011 |  M05   | 22.99 |           |
| CES0500000003 | 2011 |  M04   | 22.92 |           |
| CES0500000003 | 2011 |  M03   | 22.87 |           |
| CES0500000003 | 2011 |  M02   | 22.87 |           |
| CES0500000003 | 2011 |  M01   | 22.85 |           |
+---------------+------+--------+-------+-----------+
