+-------------+------+--------+---------+-----------+
|  series id  | year | period |  value  | footnotes |
+-------------+------+--------+---------+-----------+
| CUSR0000SA0 | 2014 |  M12   | 236.252 |           |
| CUSR0000SA0 | 2014 |  M11   | 236.983 |           |
| CUSR0000SA0 | 2014 |  M10   | 237.430 |           |
| CUSR0000SA0 | 2014 |  M09   | 237.477 |           |
| CUSR0000SA0 | 2014 |  M08   | 237.460 |           |
| CUSR0000SA0 | 2014 |  M07   | 237.498 |           |
| CUSR0000SA0 | 2014 |  M06   | 237.231 |           |
| CUSR0000SA0 | 2014 |  M05   | 236.918 |           |
| CUSR0000SA0 | 2014 |  M04   | 236.468 |           |
| CUSR0000SA0 | 2014 |  M03   | 236.028 |           |
| CUSR0000SA0 | 2014 |  M02   | 235.547 |           |
| CUSR0000SA0 | 2014 |  M01   | 235.288 |           |
| CUSR0000SA0 | 2013 |  M12   | 234.719 |           |
| CUSR0000SA0 | 2013 |  M11   | 234.100 |           |
| CUSR0000SA0 | 2013 |  M10   | 233.669 |           |
| CUSR0000SA0 | 2013 |  M09   | 233.544 |           |
| CUSR0000SA0 | 2013 |  M08   | 233.456 |           |
| CUSR0000SA0 | 2013 |  M07   | 232.900 |           |
| CUSR0000SA0 | 2013 |  M06   | 232.445 |           |
| CUSR0000SA0 | 2013 |  M05   | 231.893 |           |
| CUSR0000SA0 | 2013 |  M04   | 231.797 |           |
| CUSR0000SA0 | 2013 |  M03   | 232.282 |           |
| CUSR0000SA0 | 2013 |  M02   | 232.937 |           |
| CUSR0000SA0 | 2013 |  M01   | 231.679 |           |
| CUSR0000SA0 | 2012 |  M12   | 231.221 |           |
| CUSR0000SA0 | 2012 |  M11   | 231.249 |           |
| CUSR0000SA0 | 2012 |  M10   | 231.638 |           |
| CUSR0000SA0 | 2012 |  M09   | 231.015 |           |
| CUSR0000SA0 | 2012 |  M08   | 229.918 |           |
| CUSR0000SA0 | 2012 |  M07   | 228.590 |           |
| CUSR0000SA0 | 2012 |  M06   | 228.524 |           |
| CUSR0000SA0 | 2012 |  M05   | 228.713 |           |
| CUSR0000SA0 | 2012 |  M04   | 229.187 |           |
| CUSR0000SA0 | 2012 |  M03   | 228.807 |           |
| CUSR0000SA0 | 2012 |  M02   | 228.329 |           |
| CUSR0000SA0 | 2012 |  M01   | 227.842 |           |
| CUSR0000SA0 | 2011 |  M12   | 227.223 |           |
| CUSR0000SA0 | 2011 |  M11   | 227.169 |           |
| CUSR0000SA0 | 2011 |  M10   | 226.750 |           |
| CUSR0000SA0 | 2011 |  M09   | 226.597 |           |
| CUSR0000SA0 | 2011 |  M08   | 226.106 |           |
| CUSR0000SA0 | 2011 |  M07   | 225.395 |           |
| CUSR0000SA0 | 2011 |  M06   | 224.806 |           |
| CUSR0000SA0 | 2011 |  M05   | 224.806 |           |
| CUSR0000SA0 | 2011 |  M04   | 224.093 |           |
| CUSR0000SA0 | 2011 |  M03   | 223.046 |           |
| CUSR0000SA0 | 2011 |  M02   | 221.898 |           |
| CUSR0000SA0 | 2011 |  M01   | 221.187 |           |
+-------------+------+--------+---------+-----------+
