+----------------+------+--------+---------+-----------+
|   series id    | year | period |  value  | footnotes |
+----------------+------+--------+---------+-----------+
| CUSR0000SA0L1E | 2014 |  M12   | 239.584 |           |
| CUSR0000SA0L1E | 2014 |  M11   | 239.458 |           |
| CUSR0000SA0L1E | 2014 |  M10   | 239.191 |           |
| CUSR0000SA0L1E | 2014 |  M09   | 238.786 |           |
| CUSR0000SA0L1E | 2014 |  M08   | 238.405 |           |
| CUSR0000SA0L1E | 2014 |  M07   | 238.195 |           |
| CUSR0000SA0L1E | 2014 |  M06   | 237.837 |           |
| CUSR0000SA0L1E | 2014 |  M05   | 237.529 |           |
| CUSR0000SA0L1E | 2014 |  M04   | 237.072 |           |
| CUSR0000SA0L1E | 2014 |  M03   | 236.625 |           |
| CUSR0000SA0L1E | 2014 |  M02   | 236.185 |           |
| CUSR0000SA0L1E | 2014 |  M01   | 235.961 |           |
| CUSR0000SA0L1E | 2013 |  M12   | 235.759 |           |
| CUSR0000SA0L1E | 2013 |  M11   | 235.359 |           |
| CUSR0000SA0L1E | 2013 |  M10   | 234.921 |           |
| CUSR0000SA0L1E | 2013 |  M09   | 234.700 |           |
| CUSR0000SA0L1E | 2013 |  M08   | 234.336 |           |
| CUSR0000SA0L1E | 2013 |  M07   | 233.880 |           |
| CUSR0000SA0L1E | 2013 |  M06   | 233.350 |           |
| CUSR0000SA0L1E | 2013 |  M05   | 232.996 |           |
| CUSR0000SA0L1E | 2013 |  M04   | 232.832 |           |
| CUSR0000SA0L1E | 2013 |  M03   | 232.794 |           |
| CUSR0000SA0L1E | 2013 |  M02   | 232.569 |           |
| CUSR0000SA0L1E | 2013 |  M01   | 232.229 |           |
| CUSR0000SA0L1E | 2012 |  M12   | 231.725 |           |
| CUSR0000SA0L1E | 2012 |  M11   | 231.330 |           |
| CUSR0000SA0L1E | 2012 |  M10   | 231.024 |           |
| CUSR0000SA0L1E | 2012 |  M09   | 230.659 |           |
| CUSR0000SA0L1E | 2012 |  M08   | 230.233 |           |
| CUSR0000SA0L1E | 2012 |  M07   | 229.970 |           |
| CUSR0000SA0L1E | 2012 |  M06   | 229.623 |           |
| CUSR0000SA0L1E | 2012 |  M05   | 229.224 |           |
| CUSR0000SA0L1E | 2012 |  M04   | 228.905 |           |
| CUSR0000SA0L1E | 2012 |  M03   | 228.478 |           |
| CUSR0000SA0L1E | 2012 |  M02   | 228.034 |           |
| CUSR0000SA0L1E | 2012 |  M01   | 227.877 |           |
| CUSR0000SA0L1E | 2011 |  M12   | 227.405 |           |
| CUSR0000SA0L1E | 2011 |  M11   | 226.899 |           |
| CUSR0000SA0L1E | 2011 |  M10   | 226.506 |           |
| CUSR0000SA0L1E | 2011 |  M09   | 226.118 |           |
| CUSR0000SA0L1E | 2011 |  M08   | 225.862 |           |
| CUSR0000SA0L1E | 2011 |  M07   | 225.218 |           |
| CUSR0000SA0L1E | 2011 |  M06   | 224.697 |           |
| CUSR0000SA0L1E | 2011 |  M05   | 224.175 |           |
| CUSR0000SA0L1E | 2011 |  M04   | 223.727 |           |
| CUSR0000SA0L1E | 2011 |  M03   | 223.454 |           |
| CUSR0000SA0L1E | 2011 |  M02   | 223.213 |           |
| CUSR0000SA0L1E | 2011 |  M01   | 222.803 |           |
+----------------+------+--------+---------+-----------+
