+----------------+------+--------+---------+-----------+
|   series id    | year | period |  value  | footnotes |
+----------------+------+--------+---------+-----------+
| CUUR0000SA0L1E | 2014 |  M12   | 238.775 |           |
| CUUR0000SA0L1E | 2014 |  M11   | 239.248 |           |
| CUUR0000SA0L1E | 2014 |  M10   | 239.413 |           |
| CUUR0000SA0L1E | 2014 |  M09   | 238.841 |           |
| CUUR0000SA0L1E | 2014 |  M08   | 238.296 |           |
| CUUR0000SA0L1E | 2014 |  M07   | 238.138 |           |
| CUUR0000SA0L1E | 2014 |  M06   | 238.157 |           |
| CUUR0000SA0L1E | 2014 |  M05   | 238.029 |           |
| CUUR0000SA0L1E | 2014 |  M04   | 237.509 |           |
| CUUR0000SA0L1E | 2014 |  M03   | 236.913 |           |
| CUUR0000SA0L1E | 2014 |  M02   | 236.075 |           |
| CUUR0000SA0L1E | 2014 |  M01   | 235.367 |           |
| CUUR0000SA0L1E | 2013 |  M12   | 235.000 |           |
| CUUR0000SA0L1E | 2013 |  M11   | 235.243 |           |
| CUUR0000SA0L1E | 2013 |  M10   | 235.162 |           |
| CUUR0000SA0L1E | 2013 |  M09   | 234.782 |           |
| CUUR0000SA0L1E | 2013 |  M08   | 234.258 |           |
| CUUR0000SA0L1E | 2013 |  M07   | 233.792 |           |
| CUUR0000SA0L1E | 2013 |  M06   | 233.640 |           |
| CUUR0000SA0L1E | 2013 |  M05   | 233.462 |           |
| CUUR0000SA0L1E | 2013 |  M04   | 233.236 |           |
| CUUR0000SA0L1E | 2013 |  M03   | 233.052 |           |
| CUUR0000SA0L1E | 2013 |  M02   | 232.432 |           |
| CUUR0000SA0L1E | 2013 |  M01   | 231.612 |           |
| CUUR0000SA0L1E | 2012 |  M12   | 231.033 |           |
| CUUR0000SA0L1E | 2012 |  M11   | 231.263 |           |
| CUUR0000SA0L1E | 2012 |  M10   | 231.276 |           |
| CUUR0000SA0L1E | 2012 |  M09   | 230.780 |           |
| CUUR0000SA0L1E | 2012 |  M08   | 230.196 |           |
| CUUR0000SA0L1E | 2012 |  M07   | 229.893 |           |
| CUUR0000SA0L1E | 2012 |  M06   | 229.879 |           |
| CUUR0000SA0L1E | 2012 |  M05   | 229.602 |           |
| CUUR0000SA0L1E | 2012 |  M04   | 229.303 |           |
| CUUR0000SA0L1E | 2012 |  M03   | 228.735 |           |
| CUUR0000SA0L1E | 2012 |  M02   | 227.865 |           |
| CUUR0000SA0L1E | 2012 |  M01   | 227.237 |           |
| CUUR0000SA0L1E | 2011 |  M12   | 226.740 |           |
| CUUR0000SA0L1E | 2011 |  M11   | 226.859 |           |
| CUUR0000SA0L1E | 2011 |  M10   | 226.743 |           |
| CUUR0000SA0L1E | 2011 |  M09   | 226.289 |           |
| CUUR0000SA0L1E | 2011 |  M08   | 225.874 |           |
| CUUR0000SA0L1E | 2011 |  M07   | 225.164 |           |
| CUUR0000SA0L1E | 2011 |  M06   | 224.891 |           |
| CUUR0000SA0L1E | 2011 |  M05   | 224.534 |           |
| CUUR0000SA0L1E | 2011 |  M04   | 224.118 |           |
| CUUR0000SA0L1E | 2011 |  M03   | 223.690 |           |
| CUUR0000SA0L1E | 2011 |  M02   | 223.011 |           |
| CUUR0000SA0L1E | 2011 |  M01   | 222.177 |           |
+----------------+------+--------+---------+-----------+
