+----------------------+------+--------+-------+-----------+
|      series id       | year | period | value | footnotes |
+----------------------+------+--------+-------+-----------+
| LASST010000000000003 | 2014 |  M12   |  6.1  |           |
| LASST010000000000003 | 2014 |  M11   |  6.2  |           |
| LASST010000000000003 | 2014 |  M10   |  6.4  |           |
| LASST010000000000003 | 2014 |  M09   |  6.5  |           |
| LASST010000000000003 | 2014 |  M08   |  6.6  |           |
| LASST010000000000003 | 2014 |  M07   |  6.7  |           |
| LASST010000000000003 | 2014 |  M06   |  6.9  |           |
| LASST010000000000003 | 2014 |  M05   |  7.0  |           |
| LASST010000000000003 | 2014 |  M04   |  7.1  |           |
| LASST010000000000003 | 2014 |  M03   |  7.2  |           |
| LASST010000000000003 | 2014 |  M02   |  7.2  |           |
| LASST010000000000003 | 2014 |  M01   |  7.2  |           |
| LASST010000000000003 | 2013 |  M12   |  7.3  |           |
| LASST010000000000003 | 2013 |  M11   |  7.2  |           |
| LASST010000000000003 | 2013 |  M10   |  7.2  |           |
| LASST010000000000003 | 2013 |  M09   |  7.2  |           |
| LASST010000000000003 | 2013 |  M08   |  7.1  |           |
| LASST010000000000003 | 2013 |  M07   |  7.1  |           |
| LASST010000000000003 | 2013 |  M06   |  7.0  |           |
| LASST010000000000003 | 2013 |  M05   |  7.1  |           |
| LASST010000000000003 | 2013 |  M04   |  7.2  |           |
| LASST010000000000003 | 2013 |  M03   |  7.3  |           |
| LASST010000000000003 | 2013 |  M02   |  7.4  |           |
| LASST010000000000003 | 2013 |  M01   |  7.5  |           |
| LASST010000000000003 | 2012 |  M12   |  7.6  |           |
| LASST010000000000003 | 2012 |  M11   |  7.6  |           |
| LASST010000000000003 | 2012 |  M10   |  7.8  |           |
| LASST010000000000003 | 2012 |  M09   |  7.9  |           |
| LASST010000000000003 | 2012 |  M08   |  8.1  |           |
| LASST010000000000003 | 2012 |  M07   |  8.2  |           |
| LASST010000000000003 | 2012 |  M06   |  8.3  |           |
| LASST010000000000003 | 2012 |  M05   |  8.2  |           |
| LASST010000000000003 | 2012 |  M04   |  8.1  |           |
| LASST010000000000003 | 2012 |  M03   |  8.0  |           |
| LASST010000000000003 | 2012 |  M02   |  7.9  |           |
| LASST010000000000003 | 2012 |  M01   |  8.1  |           |
| LASST010000000000003 | 2011 |  M12   |  8.3  |           |
| LASST010000000000003 | 2011 |  M11   |  8.6  |           |
| LASST010000000000003 | 2011 |  M10   |  9.0  |           |
| LASST010000000000003 | 2011 |  M09   |  9.4  |           |
| LASST010000000000003 | 2011 |  M08   |  9.7  |           |
| LASST010000000000003 | 2011 |  M07   |  9.9  |           |
| LASST010000000000003 | 2011 |  M06   |  10.0 |           |
| LASST010000000000003 | 2011 |  M05   |  10.0 |           |
| LASST010000000000003 | 2011 |  M04   |  10.0 |           |
| LASST010000000000003 | 2011 |  M03   |  10.1 |           |
| LASST010000000000003 | 2011 |  M02   |  10.2 |           |
| LASST010000000000003 | 2011 |  M01   |  10.2 |           |
+----------------------+------+--------+-------+-----------+
