+-------------+------+--------+--------+--------------------------------------------------+
|  series id  | year | period | value  |                    footnotes                     |
+-------------+------+--------+--------+--------------------------------------------------+
| LNS12000000 | 2014 |  M12   | 147615 |                                                  |
| LNS12000000 | 2014 |  M11   | 147404 |                                                  |
| LNS12000000 | 2014 |  M10   | 147427 |                                                  |
| LNS12000000 | 2014 |  M09   | 146778 |                                                  |
| LNS12000000 | 2014 |  M08   | 146530 |                                                  |
| LNS12000000 | 2014 |  M07   | 146399 |                                                  |
| LNS12000000 | 2014 |  M06   | 146247 |                                                  |
| LNS12000000 | 2014 |  M05   | 145825 |                                                  |
| LNS12000000 | 2014 |  M04   | 145667 |                                                  |
| LNS12000000 | 2014 |  M03   | 145648 |                                                  |
| LNS12000000 | 2014 |  M02   | 145134 |                                                  |
| LNS12000000 | 2014 |  M01   | 145150 | Data affected by changes in population controls. |
| LNS12000000 | 2013 |  M12   | 144778 |                                                  |
| LNS12000000 | 2013 |  M11   | 144479 |                                                  |
| LNS12000000 | 2013 |  M10   | 143537 |                                                  |
| LNS12000000 | 2013 |  M09   | 144418 |                                                  |
| LNS12000000 | 2013 |  M08   | 144326 |                                                  |
| LNS12000000 | 2013 |  M07   | 144264 |                                                  |
| LNS12000000 | 2013 |  M06   | 143999 |                                                  |
| LNS12000000 | 2013 |  M05   | 143882 |                                                  |
| LNS12000000 | 2013 |  M04   | 143635 |                                                  |
| LNS12000000 | 2013 |  M03   | 143316 |                                                  |
| LNS12000000 | 2013 |  M02   | 143362 |                                                  |
| LNS12000000 | 2013 |  M01   | 143292 | Data affected by changes in population controls. |
| LNS12000000 | 2012 |  M12   | 143330 |                                                  |
| LNS12000000 | 2012 |  M11   | 143333 |                                                  |
| LNS12000000 | 2012 |  M10   | 143431 |                                                  |
| LNS12000000 | 2012 |  M09   | 143044 |                                                  |
| LNS12000000 | 2012 |  M08   | 142291 |                                                  |
| LNS12000000 | 2012 |  M07   | 142292 |                                                  |
| LNS12000000 | 2012 |  M06   | 142391 |                                                  |
| LNS12000000 | 2012 |  M05   | 142206 |                                                  |
| LNS12000000 | 2012 |  M04   | 141899 |                                                  |
| LNS12000000 | 2012 |  M03   | 142036 |                                                  |
| LNS12000000 | 2012 |  M02   | 141858 |                                                  |
| LNS12000000 | 2012 |  M01   | 141584 | Data affected by changes in population controls. |
| LNS12000000 | 2011 |  M12   | 140902 |                                                  |
| LNS12000000 | 2011 |  M11   | 140826 |                                                  |
| LNS12000000 | 2011 |  M10   | 140368 |                                                  |
| LNS12000000 | 2011 |  M09   | 140183 |                                                  |
| LNS12000000 | 2011 |  M08   | 139942 |                                                  |
| LNS12000000 | 2011 |  M07   | 139524 |                                                  |
| LNS12000000 | 2011 |  M06   | 139384 |                                                  |
| LNS12000000 | 2011 |  M05   | 139624 |                                                  |
| LNS12000000 | 2011 |  M04   | 139586 |                                                  |
| LNS12000000 | 2011 |  M03   | 139639 |                                                  |
| LNS12000000 | 2011 |  M02   | 139394 |                                                  |
| LNS12000000 | 2011 |  M01   | 139250 | Data affected by changes in population controls. |
+-------------+------+--------+--------+--------------------------------------------------+
