+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS14000006 | 2014 |  M12   |  10.6 |           |
| LNS14000006 | 2014 |  M11   |  10.9 |           |
| LNS14000006 | 2014 |  M10   |  10.6 |           |
| LNS14000006 | 2014 |  M09   |  11.0 |           |
| LNS14000006 | 2014 |  M08   |  11.4 |           |
| LNS14000006 | 2014 |  M07   |  11.6 |           |
| LNS14000006 | 2014 |  M06   |  11.0 |           |
| LNS14000006 | 2014 |  M05   |  11.4 |           |
| LNS14000006 | 2014 |  M04   |  11.6 |           |
| LNS14000006 | 2014 |  M03   |  12.1 |           |
| LNS14000006 | 2014 |  M02   |  11.8 |           |
| LNS14000006 | 2014 |  M01   |  12.1 |           |
| LNS14000006 | 2013 |  M12   |  11.9 |           |
| LNS14000006 | 2013 |  M11   |  12.3 |           |
| LNS14000006 | 2013 |  M10   |  12.8 |           |
| LNS14000006 | 2013 |  M09   |  13.0 |           |
| LNS14000006 | 2013 |  M08   |  12.8 |           |
| LNS14000006 | 2013 |  M07   |  12.6 |           |
| LNS14000006 | 2013 |  M06   |  14.2 |           |
| LNS14000006 | 2013 |  M05   |  13.4 |           |
| LNS14000006 | 2013 |  M04   |  13.3 |           |
| LNS14000006 | 2013 |  M03   |  13.0 |           |
| LNS14000006 | 2013 |  M02   |  13.8 |           |
| LNS14000006 | 2013 |  M01   |  13.7 |           |
| LNS14000006 | 2012 |  M12   |  14.0 |           |
| LNS14000006 | 2012 |  M11   |  13.3 |           |
| LNS14000006 | 2012 |  M10   |  14.1 |           |
| LNS14000006 | 2012 |  M09   |  13.6 |           |
| LNS14000006 | 2012 |  M08   |  13.8 |           |
| LNS14000006 | 2012 |  M07   |  14.2 |           |
| LNS14000006 | 2012 |  M06   |  14.5 |           |
| LNS14000006 | 2012 |  M05   |  13.5 |           |
| LNS14000006 | 2012 |  M04   |  13.3 |           |
| LNS14000006 | 2012 |  M03   |  14.0 |           |
| LNS14000006 | 2012 |  M02   |  14.0 |           |
| LNS14000006 | 2012 |  M01   |  13.6 |           |
| LNS14000006 | 2011 |  M12   |  15.4 |           |
| LNS14000006 | 2011 |  M11   |  15.6 |           |
| LNS14000006 | 2011 |  M10   |  14.6 |           |
| LNS14000006 | 2011 |  M09   |  15.9 |           |
| LNS14000006 | 2011 |  M08   |  16.4 |           |
| LNS14000006 | 2011 |  M07   |  15.9 |           |
| LNS14000006 | 2011 |  M06   |  16.2 |           |
| LNS14000006 | 2011 |  M05   |  16.3 |           |
| LNS14000006 | 2011 |  M04   |  16.5 |           |
| LNS14000006 | 2011 |  M03   |  15.8 |           |
| LNS14000006 | 2011 |  M02   |  15.5 |           |
| LNS14000006 | 2011 |  M01   |  15.8 |           |
+-------------+------+--------+-------+-----------+
