+-------------+------+--------+--------+-----------+
|  series id  | year | period | value  | footnotes |
+-------------+------+--------+--------+-----------+
| LNS16000000 | 2014 |  M12   | 140498 |           |
| LNS16000000 | 2014 |  M11   | 140278 |           |
| LNS16000000 | 2014 |  M10   | 140506 |           |
| LNS16000000 | 2014 |  M09   | 139699 |           |
| LNS16000000 | 2014 |  M08   | 139610 |           |
| LNS16000000 | 2014 |  M07   | 139486 |           |
| LNS16000000 | 2014 |  M06   | 139731 |           |
| LNS16000000 | 2014 |  M05   | 139501 |           |
| LNS16000000 | 2014 |  M04   | 138899 |           |
| LNS16000000 | 2014 |  M03   | 138512 |           |
| LNS16000000 | 2014 |  M02   | 137968 |           |
| LNS16000000 | 2014 |  M01   | 138102 |           |
| LNS16000000 | 2013 |  M12   | 137496 |           |
| LNS16000000 | 2013 |  M11   | 137467 |           |
| LNS16000000 | 2013 |  M10   | 136831 |           |
| LNS16000000 | 2013 |  M09   | 137600 |           |
| LNS16000000 | 2013 |  M08   | 137648 |           |
| LNS16000000 | 2013 |  M07   | 137204 |           |
| LNS16000000 | 2013 |  M06   | 137355 |           |
| LNS16000000 | 2013 |  M05   | 137263 |           |
| LNS16000000 | 2013 |  M04   | 137068 |           |
| LNS16000000 | 2013 |  M03   | 136785 |           |
| LNS16000000 | 2013 |  M02   | 136769 |           |
| LNS16000000 | 2013 |  M01   | 135985 |           |
| LNS16000000 | 2012 |  M12   | 136329 |           |
| LNS16000000 | 2012 |  M11   | 135956 |           |
| LNS16000000 | 2012 |  M10   | 136338 |           |
| LNS16000000 | 2012 |  M09   | 135651 |           |
| LNS16000000 | 2012 |  M08   | 135170 |           |
| LNS16000000 | 2012 |  M07   | 134838 |           |
| LNS16000000 | 2012 |  M06   | 134860 |           |
| LNS16000000 | 2012 |  M05   | 135154 |           |
| LNS16000000 | 2012 |  M04   | 134817 |           |
| LNS16000000 | 2012 |  M03   | 135120 |           |
| LNS16000000 | 2012 |  M02   | 135135 |           |
| LNS16000000 | 2012 |  M01   | 134669 |           |
| LNS16000000 | 2011 |  M12   | 134052 |           |
| LNS16000000 | 2011 |  M11   | 133895 |           |
| LNS16000000 | 2011 |  M10   | 133381 |           |
| LNS16000000 | 2011 |  M09   | 133517 |           |
| LNS16000000 | 2011 |  M08   | 132726 |           |
| LNS16000000 | 2011 |  M07   | 132439 |           |
| LNS16000000 | 2011 |  M06   | 132423 |           |
| LNS16000000 | 2011 |  M05   | 132606 |           |
| LNS16000000 | 2011 |  M04   | 132696 |           |
| LNS16000000 | 2011 |  M03   | 132286 |           |
| LNS16000000 | 2011 |  M02   | 131811 |           |
| LNS16000000 | 2011 |  M01   | 131744 |           |
+-------------+------+--------+--------+-----------+
