+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNU04000000 | 2014 |  M12   |  5.4  |           |
| LNU04000000 | 2014 |  M11   |  5.5  |           |
| LNU04000000 | 2014 |  M10   |  5.5  |           |
| LNU04000000 | 2014 |  M09   |  5.7  |           |
| LNU04000000 | 2014 |  M08   |  6.3  |           |
| LNU04000000 | 2014 |  M07   |  6.5  |           |
| LNU04000000 | 2014 |  M06   |  6.3  |           |
| LNU04000000 | 2014 |  M05   |  6.1  |           |
| LNU04000000 | 2014 |  M04   |  5.9  |           |
| LNU04000000 | 2014 |  M03   |  6.8  |           |
| LNU04000000 | 2014 |  M02   |  7.0  |           |
| LNU04000000 | 2014 |  M01   |  7.0  |           |
| LNU04000000 | 2013 |  M12   |  6.5  |           |
| LNU04000000 | 2013 |  M11   |  6.6  |           |
| LNU04000000 | 2013 |  M10   |  7.0  |           |
| LNU04000000 | 2013 |  M09   |  7.0  |           |
| LNU04000000 | 2013 |  M08   |  7.3  |           |
| LNU04000000 | 2013 |  M07   |  7.7  |           |
| LNU04000000 | 2013 |  M06   |  7.8  |           |
| LNU04000000 | 2013 |  M05   |  7.3  |           |
| LNU04000000 | 2013 |  M04   |  7.1  |           |
| LNU04000000 | 2013 |  M03   |  7.6  |           |
| LNU04000000 | 2013 |  M02   |  8.1  |           |
| LNU04000000 | 2013 |  M01   |  8.5  |           |
| LNU04000000 | 2012 |  M12   |  7.6  |           |
| LNU04000000 | 2012 |  M11   |  7.4  |           |
| LNU04000000 | 2012 |  M10   |  7.5  |           |
| LNU04000000 | 2012 |  M09   |  7.6  |           |
| LNU04000000 | 2012 |  M08   |  8.2  |           |
| LNU04000000 | 2012 |  M07   |  8.6  |           |
| LNU04000000 | 2012 |  M06   |  8.4  |           |
| LNU04000000 | 2012 |  M05   |  7.9  |           |
| LNU04000000 | 2012 |  M04   |  7.7  |           |
| LNU04000000 | 2012 |  M03   |  8.4  |           |
| LNU04000000 | 2012 |  M02   |  8.7  |           |
| LNU04000000 | 2012 |  M01   |  8.8  |           |
| LNU04000000 | 2011 |  M12   |  8.3  |           |
| LNU04000000 | 2011 |  M11   |  8.2  |           |
| LNU04000000 | 2011 |  M10   |  8.5  |           |
| LNU04000000 | 2011 |  M09   |  8.8  |           |
| LNU04000000 | 2011 |  M08   |  9.1  |           |
| LNU04000000 | 2011 |  M07   |  9.3  |           |
| LNU04000000 | 2011 |  M06   |  9.3  |           |
| LNU04000000 | 2011 |  M05   |  8.7  |           |
| LNU04000000 | 2011 |  M04   |  8.7  |           |
| LNU04000000 | 2011 |  M03   |  9.2  |           |
| LNU04000000 | 2011 |  M02   |  9.5  |           |
| LNU04000000 | 2011 |  M01   |  9.8  |           |
+-------------+------+--------+-------+-----------+
