+-----------+------+--------+-------+-----------+
| series id | year | period | value | footnotes |
+-----------+------+--------+-------+-----------+
|   WPSFD4  | 2014 |  M12   | 110.8 |           |
|   WPSFD4  | 2014 |  M11   | 111.1 |           |
|   WPSFD4  | 2014 |  M10   | 111.3 |           |
|   WPSFD4  | 2014 |  M09   | 111.1 |           |
|   WPSFD4  | 2014 |  M08   | 111.3 |           |
|   WPSFD4  | 2014 |  M07   | 111.3 |           |
|   WPSFD4  | 2014 |  M06   | 110.9 |           |
|   WPSFD4  | 2014 |  M05   | 111.0 |           |
|   WPSFD4  | 2014 |  M04   | 110.8 |           |
|   WPSFD4  | 2014 |  M03   | 110.7 |           |
|   WPSFD4  | 2014 |  M02   | 110.3 |           |
|   WPSFD4  | 2014 |  M01   | 110.1 |           |
|   WPSFD4  | 2013 |  M12   | 109.8 |           |
|   WPSFD4  | 2013 |  M11   | 109.7 |           |
|   WPSFD4  | 2013 |  M10   | 109.5 |           |
|   WPSFD4  | 2013 |  M09   | 109.3 |           |
|   WPSFD4  | 2013 |  M08   | 109.3 |           |
|   WPSFD4  | 2013 |  M07   | 109.2 |           |
|   WPSFD4  | 2013 |  M06   | 109.0 |           |
|   WPSFD4  | 2013 |  M05   | 108.6 |           |
|   WPSFD4  | 2013 |  M04   | 108.7 |           |
|   WPSFD4  | 2013 |  M03   | 108.9 |           |
|   WPSFD4  | 2013 |  M02   | 108.9 |           |
|   WPSFD4  | 2013 |  M01   | 108.7 |           |
|   WPSFD4  | 2012 |  M12   | 108.4 |           |
|   WPSFD4  | 2012 |  M11   | 108.4 |           |
|   WPSFD4  | 2012 |  M10   | 108.3 |           |
|   WPSFD4  | 2012 |  M09   | 108.2 |           |
|   WPSFD4  | 2012 |  M08   | 107.5 |           |
|   WPSFD4  | 2012 |  M07   | 107.2 |           |
|   WPSFD4  | 2012 |  M06   | 107.3 |           |
|   WPSFD4  | 2012 |  M05   | 107.6 |           |
|   WPSFD4  | 2012 |  M04   | 107.7 |           |
|   WPSFD4  | 2012 |  M03   | 107.4 |           |
|   WPSFD4  | 2012 |  M02   | 107.2 |           |
|   WPSFD4  | 2012 |  M01   | 106.9 |           |
|   WPSFD4  | 2011 |  M12   | 106.5 |           |
|   WPSFD4  | 2011 |  M11   | 106.6 |           |
|   WPSFD4  | 2011 |  M10   | 106.3 |           |
|   WPSFD4  | 2011 |  M09   | 106.7 |           |
|   WPSFD4  | 2011 |  M08   | 106.3 |           |
|   WPSFD4  | 2011 |  M07   | 106.1 |           |
|   WPSFD4  | 2011 |  M06   | 105.9 |           |
|   WPSFD4  | 2011 |  M05   | 105.8 |           |
|   WPSFD4  | 2011 |  M04   | 105.5 |           |
|   WPSFD4  | 2011 |  M03   | 105.0 |           |
|   WPSFD4  | 2011 |  M02   | 104.3 |           |
|   WPSFD4  | 2011 |  M01   | 103.7 |           |
+-----------+------+--------+-------+-----------+
