+-----------+------+--------+-------+-----------+
| series id | year | period | value | footnotes |
+-----------+------+--------+-------+-----------+
|   WPUFD4  | 2014 |  M12   | 110.3 |           |
|   WPUFD4  | 2014 |  M11   | 110.8 |           |
|   WPUFD4  | 2014 |  M10   | 111.4 |           |
|   WPUFD4  | 2014 |  M09   | 111.1 |           |
|   WPUFD4  | 2014 |  M08   | 111.6 |           |
|   WPUFD4  | 2014 |  M07   | 111.6 |           |
|   WPUFD4  | 2014 |  M06   | 111.2 |           |
|   WPUFD4  | 2014 |  M05   | 111.1 |           |
|   WPUFD4  | 2014 |  M04   | 111.0 |           |
|   WPUFD4  | 2014 |  M03   | 110.8 |           |
|   WPUFD4  | 2014 |  M02   | 110.1 |           |
|   WPUFD4  | 2014 |  M01   | 109.7 |           |
|   WPUFD4  | 2013 |  M12   | 109.3 |           |
|   WPUFD4  | 2013 |  M11   | 109.4 |           |
|   WPUFD4  | 2013 |  M10   | 109.7 |           |
|   WPUFD4  | 2013 |  M09   | 109.4 |           |
|   WPUFD4  | 2013 |  M08   | 109.5 |           |
|   WPUFD4  | 2013 |  M07   | 109.5 |           |
|   WPUFD4  | 2013 |  M06   | 109.2 |           |
|   WPUFD4  | 2013 |  M05   | 108.8 |           |
|   WPUFD4  | 2013 |  M04   | 109.0 |           |
|   WPUFD4  | 2013 |  M03   | 109.1 |           |
|   WPUFD4  | 2013 |  M02   | 108.8 |           |
|   WPUFD4  | 2013 |  M01   | 108.3 |           |
|   WPUFD4  | 2012 |  M12   | 108.0 |           |
|   WPUFD4  | 2012 |  M11   | 108.2 |           |
|   WPUFD4  | 2012 |  M10   | 108.3 |           |
|   WPUFD4  | 2012 |  M09   | 108.2 |           |
|   WPUFD4  | 2012 |  M08   | 107.7 |           |
|   WPUFD4  | 2012 |  M07   | 107.4 |           |
|   WPUFD4  | 2012 |  M06   | 107.4 |           |
|   WPUFD4  | 2012 |  M05   | 107.8 |           |
|   WPUFD4  | 2012 |  M04   | 108.0 |           |
|   WPUFD4  | 2012 |  M03   | 107.7 |           |
|   WPUFD4  | 2012 |  M02   | 107.1 |           |
|   WPUFD4  | 2012 |  M01   | 106.6 |           |
|   WPUFD4  | 2011 |  M12   | 106.0 |           |
|   WPUFD4  | 2011 |  M11   | 106.4 |           |
|   WPUFD4  | 2011 |  M10   | 106.3 |           |
|   WPUFD4  | 2011 |  M09   | 106.6 |           |
|   WPUFD4  | 2011 |  M08   | 106.4 |           |
|   WPUFD4  | 2011 |  M07   | 106.3 |           |
|   WPUFD4  | 2011 |  M06   | 106.0 |           |
|   WPUFD4  | 2011 |  M05   | 106.1 |           |
|   WPUFD4  | 2011 |  M04   | 105.9 |           |
|   WPUFD4  | 2011 |  M03   | 105.2 |           |
|   WPUFD4  | 2011 |  M02   | 104.2 |           |
|   WPUFD4  | 2011 |  M01   | 103.4 |           |
+-----------+------+--------+-------+-----------+
