+------------+------+--------+-------+-----------+
| series id  | year | period | value | footnotes |
+------------+------+--------+-------+-----------+
| WPUFD49104 | 2014 |  M12   | 108.7 |           |
| WPUFD49104 | 2014 |  M11   | 108.6 |           |
| WPUFD49104 | 2014 |  M10   | 108.9 |           |
| WPUFD49104 | 2014 |  M09   | 108.1 |           |
| WPUFD49104 | 2014 |  M08   | 108.4 |           |
| WPUFD49104 | 2014 |  M07   | 108.4 |           |
| WPUFD49104 | 2014 |  M06   | 107.8 |           |
| WPUFD49104 | 2014 |  M05   | 107.9 |           |
| WPUFD49104 | 2014 |  M04   | 107.7 |           |
| WPUFD49104 | 2014 |  M03   | 107.8 |           |
| WPUFD49104 | 2014 |  M02   | 107.4 |           |
| WPUFD49104 | 2014 |  M01   | 107.0 |           |
| WPUFD49104 | 2013 |  M12   | 106.6 |           |
| WPUFD49104 | 2013 |  M11   | 106.8 |           |
| WPUFD49104 | 2013 |  M10   | 106.9 |           |
| WPUFD49104 | 2013 |  M09   | 106.4 |           |
| WPUFD49104 | 2013 |  M08   | 106.4 |           |
| WPUFD49104 | 2013 |  M07   | 106.4 |           |
| WPUFD49104 | 2013 |  M06   | 106.1 |           |
| WPUFD49104 | 2013 |  M05   | 105.7 |           |
| WPUFD49104 | 2013 |  M04   | 106.1 |           |
| WPUFD49104 | 2013 |  M03   | 106.1 |           |
| WPUFD49104 | 2013 |  M02   | 105.7 |           |
| WPUFD49104 | 2013 |  M01   | 105.5 |           |
| WPUFD49104 | 2012 |  M12   | 105.3 |           |
| WPUFD49104 | 2012 |  M11   | 105.3 |           |
| WPUFD49104 | 2012 |  M10   | 105.1 |           |
| WPUFD49104 | 2012 |  M09   | 104.7 |           |
| WPUFD49104 | 2012 |  M08   | 104.5 |           |
| WPUFD49104 | 2012 |  M07   | 104.6 |           |
| WPUFD49104 | 2012 |  M06   | 104.7 |           |
| WPUFD49104 | 2012 |  M05   | 104.8 |           |
| WPUFD49104 | 2012 |  M04   | 104.7 |           |
| WPUFD49104 | 2012 |  M03   | 104.5 |           |
| WPUFD49104 | 2012 |  M02   | 104.2 |           |
| WPUFD49104 | 2012 |  M01   | 103.7 |           |
| WPUFD49104 | 2011 |  M12   | 103.2 |           |
| WPUFD49104 | 2011 |  M11   | 103.4 |           |
| WPUFD49104 | 2011 |  M10   | 103.4 |           |
| WPUFD49104 | 2011 |  M09   | 103.3 |           |
| WPUFD49104 | 2011 |  M08   | 103.3 |           |
| WPUFD49104 | 2011 |  M07   | 102.9 |           |
| WPUFD49104 | 2011 |  M06   | 102.7 |           |
| WPUFD49104 | 2011 |  M05   | 102.5 |           |
| WPUFD49104 | 2011 |  M04   | 102.5 |           |
| WPUFD49104 | 2011 |  M03   | 102.2 |           |
| WPUFD49104 | 2011 |  M02   | 101.6 |           |
| WPUFD49104 | 2011 |  M01   | 101.2 |           |
+------------+------+--------+-------+-----------+
